country_code,year,value
246,2020,10.8
246,2021,12.7
246,2022,12.2
250,2021,15.6
262,2017,21.1
266,2005,32.7
266,2017,33.4
268,2006,36.9
268,2007,38.8
268,2008,34.9
268,2009,34.9
268,2010,37.3
268,2011,34.1
268,2012,30.0
268,2013,26.2
268,2014,23.5
268,2015,21.6
268,2016,22.0
268,2017,21.9
268,2018,20.1
268,2019,19.5
268,2020,21.3
268,2021,17.5
268,2022,15.6
268,2023,11.8
270,2010,48.1
270,2015,48.6
270,2020,53.4
275,2010,25.7
275,2011,25.8
275,2016,29.2
276,2019,16.1
276,2020,16.0
276,2021,14.8
288,2005,31.9
288,2012,24.2
288,2016,23.4
296,2019,21.9
300,2002,20.7
300,2003,19.9
300,2004,19.6
300,2005,20.5
300,2006,20.3
300,2007,20.1
300,2008,19.7
300,2009,20.1
300,2010,21.4
300,2011,23.1
300,2012,23.1
300,2013,22.1
300,2014,21.4
300,2015,21.2
300,2016,20.2
300,2017,18.5
300,2018,17.9
300,2019,17.7
300,2020,19.6
300,2021,18.8
308,2018,25.0
320,2023,56.0
324,2018,43.7
332,2012,58.5
340,2001,63.7
340,2002,64.8
340,2003,65.3
340,2004,64.6
340,2005,63.7
340,2006,59.9
340,2007,58.3
340,2008,59.2
340,2009,58.8
340,2010,60.0
340,2011,61.9
340,2012,66.5
340,2013,64.5
340,2014,62.8
340,2015,63.8
340,2016,60.9
340,2017,64.3
340,2018,61.8
340,2019,59.3
340,2021,73.6
340,2023,64.1
348,2004,13.5
348,2005,15.9
348,2006,12.3
348,2007,12.4
348,2008,12.4
348,2009,12.3
348,2010,14.1
348,2011,14.3
348,2012,15.0
348,2013,15.0
348,2014,14.9
348,2015,14.5
348,2016,13.4
348,2017,12.8
348,2018,12.3
348,2019,12.3
348,2020,12.6
348,2021,12.1
352,2003,10.0
352,2004,9.7
352,2005,9.6
352,2006,10.1
352,2007,10.1
352,2008,10.2
352,2009,9.8
352,2010,9.2
352,2011,7.9
352,2012,9.3
352,2013,7.9
352,2014,9.2
352,2015,8.8
352,2016,10.1
352,2017,8.8
356,2004,37.2
356,2009,29.8
356,2011,21.9
360,2000,19.1
360,2001,18.4
360,2002,18.2
360,2003,17.4
360,2004,16.7
360,2005,16.0
360,2006,17.8
360,2007,16.6
360,2008,15.4
360,2009,14.1
360,2011,12.5
360,2012,12.0
360,2013,11.4
360,2014,11.3
360,2015,11.2
360,2016,10.9
360,2017,10.6
360,2018,9.8
360,2019,9.4
360,2020,9.8
360,2021,10.1
360,2022,9.5
360,2023,9.4
368,2006,22.4
368,2012,18.9
372,2019,13.8
372,2020,12.9
372,2021,14.0
380,2003,18.9
380,2004,19.2
380,2005,19.3
380,2006,19.5
380,2007,18.9
380,2008,18.4
380,2009,18.7
380,2010,19.8
380,2011,19.5
380,2012,19.3
380,2013,19.4
380,2014,19.9
380,2015,20.6
380,2016,20.3
380,2017,20.3
380,2018,20.1
380,2019,20.0
380,2020,20.1
380,2021,20.1
384,2015,44.4
384,2018,39.5
384,2021,37.5
388,2000,18.7
388,2001,16.9
388,2002,19.7
388,2003,19.1
388,2004,16.9
388,2005,14.8
388,2006,14.3
388,2007,9.9
388,2008,12.3
388,2009,16.5
388,2010,17.6
388,2012,19.9
388,2013,24.6
388,2014,20.0
388,2015,21.2
388,2016,17.1
388,2017,19.3
388,2018,12.6
388,2019,11.0
388,2021,16.7
398,2018,4.3
398,2019,4.3
398,2020,5.3
398,2021,5.2
398,2022,5.2
398,2023,5.2
400,2018,15.7
404,2005,46.8
404,2015,36.1
404,2021,38.6
417,2006,39.9
417,2007,35.0
417,2008,31.7
417,2009,31.7
417,2010,33.7
417,2011,36.8
417,2012,38.0
417,2013,37.0
417,2014,30.6
417,2015,32.1
417,2016,25.4
417,2017,25.6
417,2018,22.4
417,2019,20.1
417,2020,25.3
417,2021,33.3
418,2018,18.3
422,2012,27.4
426,2002,56.6
426,2017,49.7
428,2004,19.4
428,2005,23.5
428,2006,21.2
428,2007,25.9
428,2008,26.4
428,2009,20.9
428,2010,19.0
428,2011,19.2
428,2012,19.4
428,2013,21.2
428,2014,22.5
428,2015,21.8
428,2016,22.1
428,2017,23.3
428,2018,22.9
428,2019,21.6
428,2020,23.4
428,2021,22.5
428,2022,22.5
430,2014,54.1
430,2016,50.9
440,2004,20.5
440,2005,20.0
440,2006,19.1
440,2007,20.9
440,2008,20.3
440,2009,20.5
440,2010,19.2
440,2011,18.6
440,2012,20.6
440,2013,19.1
440,2014,22.2
440,2015,21.9
440,2016,22.9
440,2017,22.9
440,2018,20.6
440,2019,20.9
440,2020,20.0
440,2021,20.9
442,2021,17.3
450,2001,70.8
450,2005,73.2
450,2010,71.7
450,2012,70.7
454,2004,52.4
454,2010,50.7
454,2016,51.5
454,2019,50.7
458,2019,8.4
458,2021,6.2
462,2019,5.4
466,2001,50.9
466,2006,41.7
466,2009,41.1
466,2011,45.4
466,2013,47.1
466,2014,46.9
466,2015,47.2
466,2016,46.8
466,2017,44.9
466,2018,43.8
466,2019,42.3
466,2020,41.9
466,2021,44.6
470,2004,14.3
470,2005,14.2
470,2006,15.1
470,2007,15.3
470,2008,14.9
470,2009,15.5
470,2010,15.6
470,2011,15.1
470,2012,15.8
470,2013,15.8
470,2014,16.6
470,2015,16.5
470,2016,16.7
470,2017,16.8
470,2018,17.1
470,2019,16.9
470,2020,16.9
470,2021,16.7
478,2014,34.3
478,2019,31.8
480,2012,7.9
480,2017,10.3
484,2016,43.6
484,2018,41.9
484,2020,43.9
484,2022,36.3
496,2022,27.1
498,2019,25.2
498,2020,26.8
498,2021,24.5
498,2022,31.1
499,2012,25.2
499,2013,24.1
499,2014,24.4
499,2015,24.0
499,2016,23.6
499,2017,23.8
499,2018,24.5
499,2019,22.6
499,2020,21.2
499,2021,20.3
504,2000,15.3
504,2007,8.9
504,2013,4.8
504,2022,3.9
508,2002,60.3
508,2008,58.7
508,2014,48.4
508,2019,62.8
516,2003,37.7
516,2009,28.7
516,2015,17.4
524,2022,20.3
528,2015,12.7
528,2016,13.2
528,2017,13.3
528,2018,13.2
528,2019,13.4
528,2020,14.4
528,2021,14.5
548,2019,15.9
558,2001,45.8
558,2005,48.3
558,2009,42.5
558,2014,29.6
558,2016,24.9
562,2018,40.8
562,2021,45.5
566,2018,40.1
578,2020,12.6
578,2021,12.2
583,2013,41.2
584,2019,7.2
585,2006,24.9
586,2001,64.3
586,2004,51.7
586,2005,50.4
586,2007,44.1
586,2010,36.8
586,2011,36.3
586,2013,29.5
586,2015,24.3
586,2018,21.9
591,2000,37.9
591,2005,36.6
591,2006,38.3
591,2007,36.5
591,2008,33.8
591,2009,33.4
591,2010,29.8
591,2011,27.6
591,2012,26.5
591,2013,25.8
591,2014,25.6
591,2015,23.0
591,2016,22.1
591,2017,20.7
591,2018,21.4
591,2019,21.5
591,2021,21.8
598,2009,39.9
600,2002,57.7
600,2003,51.4
600,2004,48.8
600,2005,44.9
600,2006,48.8
600,2007,45.3
600,2008,43.2
600,2009,41.6
600,2010,39.0
600,2011,37.0
600,2012,31.4
600,2013,28.0
600,2014,27.2
600,2015,26.6
600,2016,28.9
600,2017,26.4
600,2018,24.2
600,2019,23.5
600,2020,26.9
600,2021,26.9
600,2022,24.7
604,2004,58.7
604,2005,55.6
604,2006,49.2
604,2007,42.4
604,2008,37.3
604,2009,33.5
604,2010,30.8
604,2011,27.8
604,2012,25.8
604,2013,23.9
604,2014,22.7
604,2015,21.8
604,2016,20.7
604,2017,21.7
604,2018,20.5
604,2019,20.2
604,2020,30.1
604,2021,25.9
604,2022,27.5
608,2006,26.6
608,2009,26.3
608,2012,25.2
608,2015,23.5
608,2018,16.7
608,2021,18.1
608,2023,15.5
616,2020,11.8
616,2021,12.1
616,2022,11.7
616,2023,12.2
620,2003,20.4
620,2004,19.4
620,2005,18.5
620,2006,18.1
620,2007,18.5
620,2008,17.9
620,2009,17.9
620,2010,18.0
620,2011,17.9
620,2012,18.7
620,2013,19.5
620,2014,19.5
620,2015,19.0
620,2016,18.3
620,2017,17.3
620,2018,17.2
620,2019,16.2
620,2020,18.4
620,2021,16.4
624,2002,64.7
624,2010,48.7
624,2018,47.7
624,2021,50.5
626,2001,36.3
626,2007,50.4
626,2014,41.8
642,2006,24.6
642,2007,23.6
642,2008,22.1
642,2009,21.6
642,2010,22.3
642,2011,22.9
642,2012,23.0
642,2013,25.1
642,2014,25.4
642,2015,25.3
642,2016,23.6
642,2017,23.5
642,2018,23.8
642,2019,23.4
642,2020,22.5
642,2021,21.2
642,2022,21.1
643,2000,29.0
643,2002,24.6
643,2003,20.3
643,2004,17.6
643,2005,17.8
643,2006,15.2
643,2007,13.3
643,2008,13.4
643,2009,13.0
643,2010,12.5
643,2011,12.7
643,2012,10.7
643,2013,10.8
643,2014,11.2
643,2015,13.3
643,2016,13.3
643,2017,13.2
643,2018,12.6
643,2019,12.3
643,2020,12.1
646,2013,39.1
646,2016,38.2
662,2015,25.0
678,2017,55.5
686,2001,55.2
686,2005,48.3
686,2011,46.7
688,2012,24.5
688,2013,25.0
688,2014,26.7
688,2015,25.9
688,2016,25.7
688,2017,24.3
688,2018,23.2
688,2019,21.7
688,2020,21.2
688,2021,20.0
690,2013,39.3
690,2018,25.3
694,2011,62.4
694,2018,56.8
703,2004,13.3
703,2005,11.6
703,2006,10.6
703,2007,10.9
703,2008,11.0
703,2009,12.0
703,2010,13.0
703,2011,13.2
703,2012,12.8
703,2013,12.6
703,2014,12.3
703,2015,12.7
703,2016,12.4
703,2017,12.2
703,2018,11.9
703,2019,11.4
703,2020,12.3
703,2021,13.7
704,2016,9.2
704,2017,7.9
704,2018,6.8
704,2019,5.7
704,2020,4.8
704,2022,4.3
705,2004,12.2
705,2005,11.6
705,2006,11.5
705,2007,12.3
705,2008,11.3
705,2009,12.7
705,2010,13.6
705,2011,13.5
705,2012,14.5
705,2013,14.5
705,2014,14.3
705,2015,13.9
705,2016,13.3
705,2017,13.3
705,2018,12.0
705,2019,12.4
705,2020,11.7
705,2021,12.1
705,2022,12.7
706,2022,54.4
710,2005,66.6
710,2008,62.1
710,2010,53.2
710,2014,55.5
716,2001,32.2
716,2011,22.5
716,2017,30.4
716,2019,38.3
724,2003,20.1
724,2004,20.1
724,2005,20.3
724,2006,19.7
724,2007,19.8
724,2008,20.4
724,2009,20.7
724,2010,20.6
724,2011,20.8
724,2012,20.4
724,2013,22.2
724,2014,22.1
724,2015,22.3
724,2016,21.6
724,2017,21.5
724,2018,20.7
724,2019,21.0
724,2020,21.7
724,2021,20.4
724,2022,20.2
728,2016,82.3
729,2009,46.5
748,2000,69.0
748,2009,63.0
748,2016,58.9
752,2007,13.5
752,2008,14.4
752,2009,14.8
752,2010,15.4
752,2011,15.2
752,2012,16.0
752,2013,15.6
752,2014,16.3
752,2015,16.2
752,2016,15.8
752,2017,16.4
752,2018,17.1
752,2019,16.1
752,2020,15.7
752,2021,16.0
752,2022,16.1
756,2006,15.0
756,2007,15.7
756,2008,15.6
756,2009,15.0
756,2010,15.0
756,2011,15.9
756,2012,14.5
756,2013,13.8
756,2014,15.6
756,2015,14.7
756,2016,15.5
756,2017,14.6
756,2018,16.0
756,2019,15.5
756,2020,14.7
756,2021,15.8
760,2003,30.1
760,2007,35.2
762,2021,25.6
762,2022,21.7
762,2023,20.4
764,2000,42.3
764,2002,32.4
764,2004,26.8
764,2006,21.9
764,2007,20.0
764,2008,20.4
764,2009,17.9
764,2010,16.4
764,2011,13.2
764,2012,12.6
764,2013,10.9
764,2014,10.5
764,2015,7.2
764,2016,8.6
764,2017,7.9
764,2018,9.9
764,2019,6.2
764,2020,6.8
764,2021,6.3
764,2022,5.4
768,2018,45.5
776,2021,20.6
788,2000,25.4
788,2005,23.1
788,2010,20.5
788,2015,15.2
788,2021,16.6
792,2005,18.5
792,2006,16.3
792,2007,16.7
792,2008,17.1
792,2009,16.9
792,2010,16.1
792,2011,16.3
792,2012,15.0
792,2013,15.0
792,2014,14.7
792,2015,14.3
792,2016,13.5
792,2017,13.9
792,2018,14.4
792,2019,15.0
792,2020,14.4
792,2021,14.4
792,2022,13.9
798,2010,26.3
800,2002,38.8
800,2005,31.1
800,2009,24.5
800,2012,19.7
800,2016,21.4
800,2019,20.3
804,2020,1.6
807,2009,27.0
807,2010,26.8
807,2011,26.2
807,2012,24.2
807,2013,22.1
807,2014,21.5
807,2015,21.9
807,2016,22.2
807,2017,21.9
807,2018,21.6
807,2019,21.8
818,2019,29.7
826,2016,17.0
826,2017,18.6
834,2000,35.6
834,2007,34.4
834,2011,28.2
834,2018,26.4
854,2018,41.4
854,2021,43.2
858,2022,9.9
858,2023,10.1
860,2021,17.0
860,2022,14.1
860,2023,11.0
862,2000,41.6
862,2001,31.1
862,2002,41.1
862,2003,54.0
862,2004,53.1
862,2005,42.4
